row_id,request_count,peak_1s_requests,interarrival_cv,unique_path_ratio,dominant_route_ratio,unmatched_route_ratio,post_ratio,login_ratio,login_failure_ratio,backend_404_ratio,backend_5xx_ratio,mean_request_body_bytes,p95_upstream_duration_ms,endpoint_method_deviation
8855,9.0,1.0,0.346126552572925,0.8888888888888888,0.7777777777777778,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.0,8.0,0.0
8856,11.0,1.0,0.40815330477512735,0.7272727272727273,0.7272727272727273,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,2.0,0.0
8857,10.0,1.0,0.3593345162523496,0.8,0.8,0.0,0.0,0.0,0.0,0.5,0.0,0.0,8.0,0.0
8858,9.0,1.0,0.40707211829157447,1.0,0.8888888888888888,0.0,0.1111111111111111,0.1111111111111111,1.0,0.6666666666666666,0.0,6.444444444444445,2.0,0.0
8859,8.0,1.0,0.030002942107035958,0.125,1.0,0.0,1.0,1.0,1.0,0.0,0.0,54.125,3.0,0.6
8860,5.0,1.0,0.029013965117903412,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
8861,10.0,1.0,0.40999329887703645,0.9,0.9,0.0,0.1,0.1,1.0,0.7,0.0,5.8,2.0,0.0
8862,10.0,1.0,0.363441413331929,1.0,0.9,0.0,0.1,0.1,1.0,0.6,0.0,5.8,3.0,0.0
8863,121.0,3.0,0.35669954394886616,0.008264462809917356,1.0,0.0,1.0,1.0,,,,,,23.2
8864,1220.0,24.0,0.37835918765521365,0.000819672131147541,1.0,0.0,0.0,0.0,0.0,,,,,121.0
8865,93.0,2.0,0.28972891681644386,0.0967741935483871,0.5698924731182796,0.5698924731182796,0.0,0.0,0.0,0.5698924731182796,0.0,0.0,2.0,0.0
8866,47.0,2.0,0.30534546184572764,0.02127659574468085,1.0,0.0,0.0,0.0,0.0,0.0,0.46808510638297873,0.0,3.0,1.9375
8867,75.0,2.0,0.2804817014096968,0.2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
8868,9.0,1.0,0.3020704173016634,0.8888888888888888,0.8888888888888888,0.0,0.1111111111111111,0.1111111111111111,1.0,0.4444444444444444,0.0,6.444444444444445,2.0,0.0
8869,12.0,1.0,0.5016072089587494,1.0,0.9166666666666666,0.0,0.08333333333333333,0.08333333333333333,1.0,0.6666666666666666,0.0,4.833333333333333,9.0,0.0
8870,12.0,1.0,0.47333885085403027,0.9166666666666666,0.9166666666666666,0.0,0.08333333333333333,0.08333333333333333,1.0,0.8333333333333334,0.0,4.833333333333333,3.0,0.0
8871,7.0,1.0,0.3576841798542916,0.8571428571428571,0.8571428571428571,0.0,0.14285714285714285,0.14285714285714285,1.0,0.5714285714285714,0.0,8.285714285714286,2.0,0.0
8872,9.0,1.0,0.43493442022524476,0.8888888888888888,0.8888888888888888,0.0,0.1111111111111111,0.1111111111111111,1.0,0.3333333333333333,0.0,6.444444444444445,2.0,0.0
8873,6.0,1.0,0.18839659182465743,1.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.0,0.0
8874,9.0,1.0,0.2956411031348064,0.8888888888888888,1.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,9.0,0.0
8875,8.0,1.0,0.12967726197781465,1.0,1.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,3.0,0.0
8876,7.0,1.0,0.3417848060009885,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,9.0,0.0
8877,7.0,1.0,0.22717519767923347,1.0,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,7.0,0.0
8878,10.0,1.0,0.30610650538100054,0.9,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,2.0,0.0
8879,8.0,1.0,0.28465462635409694,0.75,1.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,2.0,0.0
8880,9.0,1.0,0.3997170168194133,0.8888888888888888,1.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,2.0,0.0
8881,8.0,1.0,0.20902214201639122,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,2.0,0.0
8882,6.0,1.0,0.30295637280626964,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,2.0,0.0
8883,7.0,1.0,0.31208625020423797,1.0,1.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,9.0,0.0
8884,8.0,1.0,0.3443326885973993,0.875,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,2.0,0.0
8885,7.0,1.0,0.431558104627778,1.0,1.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,2.0,0.0
8886,6.0,1.0,0.16690623880469035,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
8887,6.0,1.0,0.4034882838439878,1.0,1.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,2.0,0.0
8888,6.0,1.0,0.3644721676360417,1.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,2.0,0.0
